slug,ref,filename,n_cells,n_code_cells,n_md_cells,n_md_chars,n_code_chars,first_md,config_lb_max,config_lb_list,n_config_lb,lb_prefix_max,n_lb_prefix,bare_score_max,bare_score_min,n_bare_scores,best_score,feat__uses_perch,feat__uses_perch_v2,feat__uses_birdnet,feat__uses_sed,feat__uses_protossm,feat__uses_residual_ssm,feat__uses_efficientnet,feat__uses_hgnet,feat__uses_convnext,feat__uses_resnet,feat__uses_passt,feat__uses_beats,feat__uses_mae,feat__uses_tucker,feat__uses_mlp_probes,feat__uses_train_audio,feat__aug_mixup,feat__aug_cutmix,feat__aug_specaugment,feat__aug_time_shift,feat__aug_flip,feat__aug_clipping,feat__aug_gain,feat__loss_focal,feat__loss_bce,feat__loss_softauc,feat__ssl_pseudo,feat__ssl_iterative,feat__tweak_A_per_class,feat__tweak_C_residual,feat__tweak_D_hour_smooth,feat__tweak_E_wide_mlp,feat__tweak_F_flip_tta,feat__tweak_G_birdnet_weight,feat__sonotype_mirror,feat__site_hour_prior,feat__rank_aware,feat__file_confidence,feat__adaptive_delta,feat__uses_onnx,feat__uses_torch,feat__uses_tf,feat__val_groupkfold,feat__val_stratified,feat__ext_data,n_fork_refs,fork_refs,num__n_windows,num__window_sec,num__rank_power,num__n_classes,num__lambda_prior,num__file_conf_power,num__alpha_blend,num__correction_weight,num__lambda_in_apply_prior,num__ensemble_w_mapped,title_score
adarsh5harma__birdclef-2026-v45-improved,adarsh5harma/birdclef-2026-v45-improved,birdclef-2026-v45-improved.ipynb,1,1.0,0.0,0.0,71294,,,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,0.60,
adarsh5harma__birdclef-2026-v46-raunak-deep,adarsh5harma/birdclef-2026-v46-raunak-deep,birdclef-2026-v46-raunak-deep.ipynb,11,6.0,5.0,6263.0,215948,"# BirdCLEF 2026: Multi-Model Ensemble Architecture

This notebook orchestrates a high-scoring, multi-paradigm ensemble for acoustic species identification. The pipeline is structured into monolithic execution blocks. This prevents namespace pollution and allows for aggressive garbage collection between heavy inference stages.

### Architecture Overview
The ensemble operates via a dictionary-driven",0.947,0.9470|0.9280,2,,0,0.974,0.928,3,0.947,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,1.0,nikitababich/birdclef2025-1st-place-inference,12,5,0.5,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v47-iter-pseudo,adarsh5harma/birdclef-2026-v47-iter-pseudo,birdclef-2026-v47-iter-pseudo.ipynb,21,10.0,11.0,2038.0,55084,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v48-effnet18,adarsh5harma/birdclef-2026-v48-effnet18,birdclef-2026-v48-effnet18.ipynb,21,10.0,11.0,2038.0,55084,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v49-effnet05,adarsh5harma/birdclef-2026-v49-effnet05,birdclef-2026-v49-effnet05.ipynb,21,10.0,11.0,2038.0,55086,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v50-dual-iter,adarsh5harma/birdclef-2026-v50-dual-iter,birdclef-2026-v50-dual-iter.ipynb,21,10.0,11.0,2038.0,56471,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v51-triple-iter,adarsh5harma/birdclef-2026-v51-triple-iter,birdclef-2026-v51-triple-iter.ipynb,21,10.0,11.0,2038.0,57768,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v52-meenal-improved,adarsh5harma/birdclef-2026-v52-meenal-improved,birdclef-2026-v52-meenal-improved.ipynb,1,1.0,0.0,0.0,66555,,,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v53-svanik-fusion,adarsh5harma/birdclef-2026-v53-svanik-fusion,birdclef-2026-v53-svanik-fusion.ipynb,38,19.0,19.0,5144.0,69322,"# BirdCLEF+ 2026 — Improved Pipeline

Builds on the original Perch + ProtoSSM + SED + BirdNET stack with the
following high-impact additions:

1. **Partial-label training set.** The original uses only the 59 fully-labeled
   soundscape files (708 windows). This version uses every labeled window
   (~10× more rows) with a masked loss so we never penalise unlabeled classes.
2. **kNN retrieval head o",,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v54-lb-0948-swap,adarsh5harma/birdclef-2026-v54-lb-0948-swap,birdclef-2026-v54-lb-0948-swap.ipynb,1,1.0,0.0,0.0,76221,,,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,0.60,
adarsh5harma__birdclef-2026-v55-eslam,adarsh5harma/birdclef-2026-v55-eslam,birdclef-2026-v55-eslam.ipynb,25,14.0,11.0,5658.0,533077,"### [BirdCLEF+ 2026](https://www.kaggle.com/competitions/birdclef-2026/code?competitionId=129329&sortBy=scoreDescending&excludeNonAccessedDatasources=true)

Acoustic Species Identification in the Pantanal, South America

&nbsp;

**Dear colleagues and friends**! &nbsp; Please listen:

In this notebook, we'll attempt to vertically divide two tests and assign slightly different weights to each half. ",0.948,0.9480|0.9280,2,0.948,1,0.974,0.912,8,0.948,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,8.0,hideyukizushi/bird26-reproduce-perch-protossm-resssm-inf-train|mtoshidesu/tedbirdclef-2026-improved|nikitababich/birdclef2025-1st-place-inference|nina2025/birdclef-2026-ensemble-of-solutions|nina2025/birdclef-2026-eos-4|pilkwang/birdclef-2026-safe-ensemble|tuckerarrants/bc2026-distilled-sed|youssefmo942009/lb-0-948,12,5,0.5,,0.4,0.4,0.4,0.30,0.4,0.60,
adarsh5harma__birdclef-2026-v56-200ep-tta,adarsh5harma/birdclef-2026-v56-200ep-tta,birdclef-2026-v56-200ep-tta.ipynb,21,10.0,11.0,2038.0,55346,"# BirdCLEF+ 2026 — Perch + SED Ensemble

A two-stage inference pipeline for passive acoustic monitoring in the Pantanal wetlands.

## Architecture

**Stage 1 — Feature extraction**
- [Google Perch v2](https://huggingface.co/google/bird-vocalization-classifier) (ONNX) produces 1536-d embeddings and logits for 203 of 234 competition species
- 5-fold distilled SED models provide frame-level predictio",,,0,,0,,,0,,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,1.0,mtoshidesu/birdclef-2026-0-947-lb-public-pipeline-reproduced,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,
adarsh5harma__birdclef-2026-v60-sed-tta,adarsh5harma/birdclef-2026-v60-sed-tta,birdclef-2026-v60-sed-tta.ipynb,1,1.0,0.0,0.0,77338,,,,0,,0,,,0,,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,0.60,
adarsh5harma__birdclef-2026-v61-safar-0948-fork,adarsh5harma/birdclef-2026-v61-safar-0948-fork,birdclef-2026-v61-safar-0948-fork.ipynb,1,1.0,0.0,0.0,346304,,0.948,0.9480,1,0.948,1,0.999,0.948,2,0.948,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,2.0,nikitababich/birdclef2025-1st-place-inference|pilkwang/birdclef-2026-safe-ensemble,12,5,0.5,,0.4,0.4,0.4,0.30,0.4,0.60,
adegbaju__acoustic-species-identification-pipeline,adegbaju/acoustic-species-identification-pipeline,acoustic-species-identification-pipeline.ipynb,21,12.0,9.0,195.0,12570,# BirdCLEF+ 2026 – Acoustic Species Identification Pipeline,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
adegbaju__birdclef-2026-acoustic-species-identification,adegbaju/birdclef-2026-acoustic-species-identification,birdclef-2026-acoustic-species-identification.ipynb,25,16.0,9.0,231.0,21740,# BirdCLEF+ 2026 - Acoustic Species Identification,,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
adkasd__birdclef-2026-yuriy-replay,adkasd/birdclef-2026-yuriy-replay,birdclef-2026-yuriy-replay.ipynb,52,32.0,20.0,5315.0,107830,"# BirdCLEF+ 2026 | Improved Ensemble with Parameter Adjustments

### Expected Kaggle inputs:
- competition data `BirdCLEF+ 2026`
- TensorFlow 2.20 wheels dataset
- `perch_v2_cpu` model dataset
- cached full-file Perch outputs dataset _`perch-meta`_ (`full_perch_meta.parquet`, `full_perch_arrays.npz`)

#### Pipeline: `Perch → ProtoSSM_v5(pass1) + MLP → ensemble → ResidualSSM(pass2) → TTA → per-taxo",,,0,,0,0.929,0.929,1,0.929,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,0.0,,12,5,0.5,,,,,,,,
aenggg__birdclef-bagusaxel-herons,aenggg/birdclef-bagusaxel-herons,birdclef-bagusaxel-herons.ipynb,1,1.0,0.0,0.0,3622,,,,0,,0,,,0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,,,5,,,,,,,,,
afr1ste__birdclef-2026-0-946-updated-perch-sed,afr1ste/birdclef-2026-0-946-updated-perch-sed,birdclef-2026-0-946-updated-perch-sed.ipynb,68,27.0,41.0,24073.0,66050,"# BirdCLEF+ 2026 0.946 | Updated Perch + SED Pipeline

**Update note.** This is an in-place update of my existing public BirdCLEF notebook. The URL slug still contains `0.941` because that was the original public version; the current notebook content documents the stronger **0.946 public LB** line validated later.

I am updating the existing high-vote page rather than publishing a second near-dupl",,,0,,0,0.946,0.926,6,0.946,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,0.0,,12,5,0.4,,0.4,0.4,0.4,0.30,0.4,,0.946
ahmadzulfiqar001__birdclef-2026-birdnet-baseline,ahmadzulfiqar001/birdclef-2026-birdnet-baseline,birdclef-2026-birdnet-baseline.ipynb,27,18.0,9.0,3145.0,17473,"# 🦜 BirdCLEF+ 2026 — Baseline Notebook
### Acoustic Species Identification in the Pantanal, South America

---

## 📋 Pipeline Overview

```
STEP 1: Setup & Config        → Define all paths, constants, hyperparams
STEP 2: EDA                   → Understand train.csv, taxonomy.csv, sample_submission.csv
STEP 3: Audio Processing      → Load .ogg files, split into 5-second segments
STEP 4: Mel Spectro",,,0,,0,,,0,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,,,,,,,,,,,,
aiaiaiooo__birdclef2026,aiaiaiooo/birdclef2026,birdclef2026.ipynb,12,12.0,0.0,0.0,34661,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0,,,,,,,,,,,,
aidensong123__birdclef-2026-sed-baseline-lb-0-862,aidensong123/birdclef-2026-sed-baseline-lb-0-862,birdclef-2026-sed-baseline-lb-0-862.ipynb,1,1.0,0.0,0.0,8614,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
aidensong123__birdclef-2026-sed-baseline-training-lb-0-862,aidensong123/birdclef-2026-sed-baseline-training-lb-0-862,birdclef-2026-sed-baseline-training-lb-0-862.ipynb,1,1.0,0.0,0.0,21864,,,,0,,0,,,0,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0,,,,,,,,,,,,
aixonvittle__cpu-birdclef,aixonvittle/cpu-birdclef,cpu-birdclef.ipynb,2,2.0,0.0,0.0,12445,,,,0,,0,,,0,,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,,12,,,234,,,,,,,
aixonvittle__sed-model-bc,aixonvittle/sed-model-bc,sed-model-bc.ipynb,6,6.0,0.0,0.0,15799,,,,0,,0,,,0,,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0.0,,,5,,234,,,,,,,
aixonvittle__train-model-tf,aixonvittle/train-model-tf,train-model-tf.ipynb,17,17.0,0.0,0.0,60923,,,,0,,0,0.948,0.948,1,0.948,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,0.0,,12,5,0.4,234,0.4,0.4,0.4,0.30,0.4,,
alexandergremyakov__birdclef-2026-soundscape-sonotype-eda,alexandergremyakov/birdclef-2026-soundscape-sonotype-eda,birdclef-2026-soundscape-sonotype-eda.ipynb,40,27.0,13.0,3280.0,19579,"# BirdCLEF 2026 — Soundscape & Sonotype EDA

**Goal**: Understand the soundscape training data, with focus on:
1. Train audio metadata overview (35,549 clips)
2. The 66 labeled soundscape files → 1,478 annotated 5s segments
3. The 25 sonotypes (`47158son01`–`47158son25`) — our only source of sonotype ground truth
4. Species coverage: scored vs available training signal
5. Audio inspection: wavefor",,,0,,0,,,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,,,,,,,,,,,,
alexandergremyakov__efficientnet-b0-submission,alexandergremyakov/efficientnet-b0-submission,efficientnet-b0-submission.ipynb,11,10.0,1.0,3.0,8515,---,,,0,,0,,,0,,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0,,,,,,,,,,,,
alexycactus__birdclef-2026-alpha-sweep-05,alexycactus/birdclef-2026-alpha-sweep-05,birdclef-2026-alpha-sweep-05.py,0,,,,26276,,,,0,0.879,1,0.879,0.879,1,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexycactus__birdclef-2026-alpha-sweep-06,alexycactus/birdclef-2026-alpha-sweep-06,birdclef-2026-alpha-sweep-06.py,0,,,,26276,,,,0,0.879,1,0.879,0.879,1,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexycactus__birdclef-2026-alpha-sweep-08,alexycactus/birdclef-2026-alpha-sweep-08,birdclef-2026-alpha-sweep-08.py,0,,,,26276,,,,0,0.879,1,0.879,0.879,1,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexycactus__birdclef-2026-alpha-sweep-09,alexycactus/birdclef-2026-alpha-sweep-09,birdclef-2026-alpha-sweep-09.py,0,,,,26276,,,,0,0.879,1,0.879,0.879,1,0.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexycactus__birdclef-2026-cnn-efficientnet-b0,alexycactus/birdclef-2026-cnn-efficientnet-b0,birdclef-2026-cnn-efficientnet-b0.py,0,,,,23108,,,,0,,0,0.883,0.883,1,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
