n_inputs,input_slugs,n_notebooks_used,notebooks_used,n_datasets_used,datasets_used,n_models_used,models_used,competitions_used,slug,ref
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,afr1ste__birdclef-2026-0-946-updated-perch-sed,afr1ste/birdclef-2026-0-946-updated-perch-sed
1,competitions,0,,0,,0,,birdclef-2026,ahmadzulfiqar001__birdclef-2026-birdnet-baseline,ahmadzulfiqar001/birdclef-2026-birdnet-baseline
2,competitions|models,0,,0,,1,aiaiaioooo/tf-efficientnetv2-b0,birdclef-2026,aiaiaiooo__birdclef2026,aiaiaiooo/birdclef2026
2,competitions|datasets,0,,1,aidensong123/0401best,0,,birdclef-2026,aidensong123__birdclef-2026-sed-baseline-lb-0-862,aidensong123/birdclef-2026-sed-baseline-lb-0-862
1,competitions,0,,0,,0,,birdclef-2026,aidensong123__birdclef-2026-sed-baseline-training-lb-0-862,aidensong123/birdclef-2026-sed-baseline-training-lb-0-862
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,4,aixonvitt/perch-onnx-for-birdclef-2026|jaejohn/perch-meta|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,aixonvittle__train-model-tf,aixonvittle/train-model-tf
2,competitions|models,0,,0,,1,alexandergremyakov/sed-b0-ce-nospecaug,birdclef-2026,alexandergremyakov__efficientnet-b0-submission,alexandergremyakov/efficientnet-b0-submission
1,competitions,0,,0,,0,,birdclef-2026,alexycactus__didactic-01-eda,alexycactus/didactic-01-eda
1,competitions,0,,0,,0,,birdclef-20266,alexycactus__didactic-02-spectrogram-guide,alexycactus/didactic-02-spectrogram-guide
1,competitions,0,,0,,0,,birdclef-2026,alexycactus__didactic-03-baseline-efficientnet,alexycactus/didactic-03-baseline-efficientnet
1,competitions,0,,0,,0,,birdclef-2026,alexycactus__didactic-04-augmentation,alexycactus/didactic-04-augmentation
3,competitions|datasets|models,0,,3,alilaudza/birdclefartifacts|alilaudza/privatewheel|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,alilaudza__birdclef-htacr-inference,alilaudza/birdclef-htacr-inference
3,competitions|datasets|models,0,,2,alilaudza/privatewheel|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,alilaudza__notebooke446edeac3,alilaudza/notebooke446edeac3
3,birdclef-2026|models|notebooks,3,aliozanmemetoglu/birdclef-sed-fold-1|aliozanmemetoglu/birdclef-sed-fold-2|denizegememetoglu/birdclef-sed,0,,2,aliozanmemetoglu/birdclef-sed-fold-3|aliozanmemetoglu/birdclef-sed-fold-4,,aliozanmemetoglu__birdclef-5-fold-ensemble-submission,aliozanmemetoglu/birdclef-5-fold-ensemble-submission
3,competitions|models|notebooks,3,aliozanmemetoglu/birdclef-sed-fold-1|aliozanmemetoglu/birdclef-sed-fold-2|denizegememetoglu/birdclef-sed,0,,2,aliozanmemetoglu/birdclef-sed-fold-3|aliozanmemetoglu/birdclef-sed-fold-4,birdclef-2026,aliozanmemetoglu__birdclef-enb0-coarse-ensemble-submission,aliozanmemetoglu/birdclef-enb0-coarse-ensemble-submission
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,amanatar__birdclef-2026,amanatar/birdclef-2026
6,birdclef-2026|birdclef2026|competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,amanatar__birdclef2026-v19,amanatar/birdclef2026-v19
6,bc2026-distilled-sed-public|competitions|datasets|models|notebooks|perch-meta,1,vyankteshdwivedi/notebook1b25083f0d,3,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public,1,google/bird-vocalization-classifier,birdclef-2026,amanatar__birdclef26-taxon-fusion-pro,amanatar/birdclef26-taxon-fusion-pro
4,competitions|datasets|models|notebooks,2,ameythakur20/birdclef-2026-tensorflow-2-20-setup|ameythakur20/kaggle-toolbox,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,ameythakur20__birdclef-2026-protossm-perch-inference-pipeline,ameythakur20/birdclef-2026-protossm-perch-inference-pipeline
0,,0,,0,,0,,,ameythakur20__birdclef-2026-tensorflow-2-20-setup,ameythakur20/birdclef-2026-tensorflow-2-20-setup
3,birdclef-2026|birdnet-weights|datasets,0,,2,kozistr/pytorch-image-models|seshurajup/birdclef-2020-2025-all-training-npy,0,,,aminmahmoudalifayed__birdclef-2026,aminmahmoudalifayed/birdclef-2026
2,birdclef-2026|competitions,0,,0,,0,,birdclef-2026,aminmahmoudalifayed__birdclef-2026-2027,aminmahmoudalifayed/birdclef-2026-2027
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,amlear__sub-080-yuriy-dualssm,amlear/sub-080-yuriy-dualssm
2,competitions|notebooks,1,amritanshukush/birdclef-2026-trained-model,0,,0,,birdclef-2026,amritanshukush__birdclef-2026-starter,amritanshukush/birdclef-2026-starter
1,competitions,0,,0,,0,,birdclef-2026,amritanshukush__birdclef-2026-trained-model,amritanshukush/birdclef-2026-trained-model
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,amulopapa67__bc26-yous-sedheavy-w090-20260517,amulopapa67/bc26-yous-sedheavy-w090-20260517
2,competitions|datasets,0,,1,tonylica/birdclef-2026-model,0,,birdclef-2026,anthonytherrien__birdclef-2026-script,anthonytherrien/birdclef-2026-script
5,competitions|datasets|models|notebooks|perch-meta,2,ashok205/tf-wheels|vyankteshdwivedi/notebook1b25083f0d,6,hideyukizushi/sgkfk-202604041716|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026|tuckerarrants/bc2026-distilled-sed-public|tuckerarrants/birdclef-2026-waveform-cache|tuckerarrants/perch-v2-no-dft-onnx,1,google/bird-vocalization-classifier,birdclef-2026,anthonytherrien__birdclef-ensemble-of-solutions,anthonytherrien/birdclef-ensemble-of-solutions
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,anthonytherrien__pantanal-distill-birdclef-2026-script,anthonytherrien/pantanal-distill-birdclef-2026-script
0,,0,,0,,0,,,antoinemasq__birdclef-2026-annotation-tool-dash-app,antoinemasq/birdclef-2026-annotation-tool-dash-app
2,competitions|notebooks,1,antoinemasq/birdclef-2026-pytorch-baseline-training,0,,0,,birdclef-2026,antoinemasq__birdclef-2026-pytorch-baseline-inference,antoinemasq/birdclef-2026-pytorch-baseline-inference
1,competitions,0,,0,,0,,birdclef-2026,antoinemasq__birdclef-2026-pytorch-baseline-training,antoinemasq/birdclef-2026-pytorch-baseline-training
1,competitions,0,,0,,0,,birdclef-2026,aribtaufiqurrohman__arib-arel,aribtaufiqurrohman/arib-arel
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,ashok205__birdclef-2026,ashok205/birdclef-2026
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,ashok205__pantanal-distill-birdclef2026,ashok205/pantanal-distill-birdclef2026
1,competitions,0,,0,,0,,birdclef-2026,avikdas567__birdclef-2026-mel-spectrogram-cnn-soundscapes,avikdas567/birdclef-2026-mel-spectrogram-cnn-soundscapes
0,,0,,0,,0,,,bachtiarc__pengpolllllllllll,bachtiarc/pengpolllllllllll
3,competitions|models|perch-v2,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,bagusathallah__birdclef-bagusaxel-herons1,bagusathallah/birdclef-bagusaxel-herons1
2,competitions|datasets,0,,1,tonylica/birdclef-2026-model,0,,birdclef-2026,baidalinadilzhan__birdclef-2026-lb-0-89,baidalinadilzhan/birdclef-2026-lb-0-89
2,competitions|datasets,0,,1,tonylica/birdclef-2026-model,0,,birdclef-2026,baidalinadilzhan__birdclef-lb-0-882,baidalinadilzhan/birdclef-lb-0-882
2,competitions|notebooks,1,antoinemasq/birdclef-2026-pytorch-baseline-training,0,,0,,birdclef-2026,baidalinadilzhan__lb-0-792-birdclef-2026-starter,baidalinadilzhan/lb-0-792-birdclef-2026-starter
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,baidalinadilzhan__perch-improved-lb-0-904,baidalinadilzhan/perch-improved-lb-0-904
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,beicicc__birdclef2026-kosuke-convnext-may12,beicicc/birdclef2026-kosuke-convnext-may12
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,beicicc__birdclef2026-kosuke-sed-may12,beicicc/birdclef2026-kosuke-sed-may12
3,competitions|models|notebooks,2,blamerx/birdclef-2026-training|kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,blamerx__birdclef-2026-inference,blamerx/birdclef-2026-inference
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,blamerx__birdclef-2026-training,blamerx/birdclef-2026-training
3,competitions|models|notebooks,2,blamerx/birdclef-2026-training|kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,blamerx__detect-the-bird-inference,blamerx/detect-the-bird-inference
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,blamerx__detect-the-bird-training,blamerx/detect-the-bird-training
0,,0,,0,,0,,,chaitanyajamble__notebook66eb36c4ae,chaitanyajamble/notebook66eb36c4ae
1,birdclef-2026,0,,0,,0,,,chaitanyajamble__notebookf6a3111822,chaitanyajamble/notebookf6a3111822
3,competitions|datasets|models,0,,2,chesteryuan/onnxruntime|jaejohn/perch-meta,2,chesteryuan/perch-v2|google/bird-vocalization-classifier,birdclef-2026,chesteryuan__patience-bro,chesteryuan/patience-bro
1,competitions,0,,0,,0,,birdclef-2026,chirag6668__birdclef-2026-pantanal-audio-cnn-baseline,chirag6668/birdclef-2026-pantanal-audio-cnn-baseline
1,competitions,0,,0,,0,,birdclef-2026,chirag6668__birdclef-2026-pantanal-eda-audio-visualiza,chirag6668/birdclef-2026-pantanal-eda-audio-visualiza
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,chiranjithdharma__0-910-score,chiranjithdharma/0-910-score
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,chiranjithdharma__pantanal-distill-birdclef2026-improvement-2fcbfd,chiranjithdharma/pantanal-distill-birdclef2026-improvement-2fcbfd
4,competitions|datasets|models|notebooks,2,raunakdey07/offline-training-efficientnet-b0-focal-recording|vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,2,google/bird-vocalization-classifier|shadiakiki1/birdnet-analyzer,birdclef-2026,claudedevore__birdclef-2026-r0946-birdnet-3way-submit,claudedevore/birdclef-2026-r0946-birdnet-3way-submit
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,claudedevore__birdclef-2026-r0947-proto-rescue-submit,claudedevore/birdclef-2026-r0947-proto-rescue-submit
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,claudedevore__birdclef-2026-r0947-ted-improved-submit,claudedevore/birdclef-2026-r0947-ted-improved-submit
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,cliff376__bc26-public-gate-combo-pc010-v2,cliff376/bc26-public-gate-combo-pc010-v2
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,cliff376__bc26-public-gate-fake008-seed316746355-v4,cliff376/bc26-public-gate-fake008-seed316746355-v4
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,cliff376__bc26-public-gate-pc010-domain005-c002-v1,cliff376/bc26-public-gate-pc010-domain005-c002-v1
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,cliff376__bc26-public-gate-pc010-fake006-v1,cliff376/bc26-public-gate-pc010-fake006-v1
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,cliff376__bc26-public-gate-pc010-head001-v1,cliff376/bc26-public-gate-pc010-head001-v1
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,cliff376__bc26-public-gate-pc010-ms2-domain005-v1,cliff376/bc26-public-gate-pc010-ms2-domain005-v1
5,competitions|datasets|models|notebooks|perch-onnx-for-birdclef-2026,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,croftadams__v19-quantized-ensemble-birdclef-2026,croftadams/v19-quantized-ensemble-birdclef-2026
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,dacquaviva__birdclef-2026-imaad-v50-perch-protossm,dacquaviva/birdclef-2026-imaad-v50-perch-protossm
1,models,0,,0,,1,google/bird-vocalization-classifier,,damianleandrotamburi__20260329-birdclef,damianleandrotamburi/20260329-birdclef
1,competitions,0,,0,,0,,birdclef-2026,dedquoc__birdclef-2026-the-robust-submission-starter,dedquoc/birdclef-2026-the-robust-submission-starter
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,dedquoc__multi-taxa-inference-perch-v2,dedquoc/multi-taxa-inference-perch-v2
4,birdclef-2026|competitions|notebooks|test_soundscapes,1,deep262003/birdclef-2026-training,0,,0,,birdclef-2026,deep262003__birdclef-2026-efficientnet,deep262003/birdclef-2026-efficientnet
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,deep262003__birdclef-2026-training,deep262003/birdclef-2026-training
1,competitions,0,,0,,0,,birdclef-2026,demirkadir04__birdclef-competition,demirkadir04/birdclef-competition
3,competitions|datasets|my-birdclef-weights,0,,1,deniszaytseff/weights-efficientnet-b0-imagenet,0,,birdclef-2026,deniszaytseff__baseline-birdclef2026,deniszaytseff/baseline-birdclef2026
7,birdclef2026|birdclef2026-perch-cache|birdclef2026-pipeline-inputs|competitions|datasets|models|perch-meta,0,,1,dennyloevlie/birdclef2026-pipeline-inputs,1,google/bird-vocalization-classifier,birdclef-2026,dennyloevlie__19-minute-runtime-neuropts-hypersearch,dennyloevlie/19-minute-runtime-neuropts-hypersearch
1,competitions,0,,0,,0,,birdclef-2026,dheerajkashalkar__bird-eda,dheerajkashalkar/bird-eda
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,dhyuk54__birdclef-2026-onnx-perch-sequence-modeling,dhyuk54/birdclef-2026-onnx-perch-sequence-modeling
4,competitions|models|notebooks|perch-meta,1,ashok205/tf-wheels,0,,1,google/bird-vocalization-classifier,birdclef-2026,dingjiarun__pantanal-distill-birdclef2026-onnx,dingjiarun/pantanal-distill-birdclef2026-onnx
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,djenkivanov__birdclef-2026-simple-perch-starter,djenkivanov/birdclef-2026-simple-perch-starter
4,competitions|datasets|models|notebooks,1,vyankteshdwivedi/notebook1b25083f0d,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,edomingo__sub-080-yuriy-dualssm,edomingo/sub-080-yuriy-dualssm
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,emanafi__birdclef-2026,emanafi/birdclef-2026
1,competitions,0,,0,,0,,birdclef-2026,emanuellcs__birdclef-2026-i-o-preprocessing,emanuellcs/birdclef-2026-i-o-preprocessing
3,competitions|datasets|notebooks,2,emanuellcs/birdclef-2026-i-o-preprocessing|emanuellcs/birdclef-2026-training,1,emanuellcs/birdclef-2026-offline-packages,0,,birdclef-2026,emanuellcs__birdclef-2026-inference,emanuellcs/birdclef-2026-inference
2,competitions|notebooks,2,emanuellcs/birdclef-2026-i-o-preprocessing|emanuellcs/birdclef-2026-training,0,,0,,birdclef-2026,emanuellcs__birdclef-2026-target-domain-pseudo-labeling,emanuellcs/birdclef-2026-target-domain-pseudo-labeling
1,notebooks,2,emanuellcs/birdclef-2026-i-o-preprocessing|emanuellcs/birdclef-2026-target-domain-pseudo-labeling,0,,0,,,emanuellcs__birdclef-2026-training,emanuellcs/birdclef-2026-training
4,competitions|datasets|models|notebooks,1,ashok205/tf-wheels,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,emanuellcs__birdclef-2026-training-inference-protossm-v5,emanuellcs/birdclef-2026-training-inference-protossm-v5
2,competitions|models,0,,0,,1,google/bird-vocalization-classifier,birdclef-2026,erikvdven__perch-baseline,erikvdven/perch-baseline
2,competitions|notebooks,1,esaaak/train-birdclef26-convnext-v2-gem-specaugmen,0,,0,,birdclef-2026,esaaak__infer-birdclef26-convnext-v2-gem-specaugmen,esaaak/infer-birdclef26-convnext-v2-gem-specaugmen
2,competitions|models,0,,0,,1,ashishkubade/timm-convnextv2-tiny-fcmae-ft-in22k-in1k-384,birdclef-2026,esaaak__train-birdclef26-convnext-v2-gem-specaugmen,esaaak/train-birdclef26-convnext-v2-gem-specaugmen
3,competitions|datasets|models,0,,2,jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,eslamelokpy__birdclef2026-v20d,eslamelokpy/birdclef2026-v20d
2,competitions|datasets,0,,1,evgendvorkin/audio4,0,,birdclef-2026,evgendvorkin__birdclef-baseline,evgendvorkin/birdclef-baseline
2,competitions|models,0,,0,,1,farshidamira/birdclef-2026-sed-enb0-stage1-5fold,birdclef-2026,farshidamira__birdclef-enb0-5fold-stage1-community-submit-v001,farshidamira/birdclef-enb0-5fold-stage1-community-submit-v001
5,birdclef-2026|birdclef-2026-predictions|competitions|datasets|franksunp-birdclef-2026-predictions,0,,1,franksunp/birdclef-2026-predictions,0,,birdclef-2026,franksunp__birdclef-2026-isotonic-v1,franksunp/birdclef-2026-isotonic-v1
0,,0,,0,,0,,,franksunp__birdclef-cnn-fork,franksunp/birdclef-cnn-fork
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,2,google/bird-vocalization-classifier|google/yamnet,birdclef-2026,furqonaryadana__0-837-perch-yamnet-site-prior-inference,furqonaryadana/0-837-perch-yamnet-site-prior-inference
5,competitions|datasets|models|notebooks|perch-meta,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,fvegamaza__birdclef-2026-perch-protossm,fvegamaza/birdclef-2026-perch-protossm
0,,0,,0,,0,,,gatandubuc__a-bird-s-song-story,gatandubuc/a-bird-s-song-story
1,competitions,0,,0,,0,,birdclef-2026,georgeimanuelsurya__notebook-pretrained-effb3,georgeimanuelsurya/notebook-pretrained-effb3
4,birdclef-2026|competitions|datasets|models,0,,3,gerarddevlin/bundle13|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,gerarddevlin__birdclef-2026-finetuned,gerarddevlin/birdclef-2026-finetuned
4,birdclef-2026|competitions|datasets|models,0,,4,gerarddevlin/bundle3|gerarddevlin/bundle5|jaejohn/perch-meta|rishikeshjani/perch-onnx-for-birdclef-2026,1,google/bird-vocalization-classifier,birdclef-2026,gerarddevlin__birdclef-2026-note,gerarddevlin/birdclef-2026-note
3,competitions|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,0,,1,google/bird-vocalization-classifier,birdclef-2026,goose666__bird0427-basetrain,goose666/bird0427-basetrain
4,competitions|datasets|models|notebooks,1,kdmitrie/bc26-tensorflow-2-20-0,1,jaejohn/perch-meta,1,google/bird-vocalization-classifier,birdclef-2026,goose666__perch-v2-baseline-birdclef2026,goose666/perch-v2-baseline-birdclef2026
2,competitions|notebooks,1,antoinemasq/birdclef-2026-pytorch-baseline-training,0,,0,,birdclef-2026,gourabr0y555__birdclef-26-inference-notebook,gourabr0y555/birdclef-26-inference-notebook
1,competitions,0,,0,,0,,birdclef-2026,gpreda__birdclef-2026-metadata-and-sound-data-exploration,gpreda/birdclef-2026-metadata-and-sound-data-exploration
1,competitions,0,,0,,0,,birdclef-2026,gustavoquevedo94__audio-exploration-pantanal-birdclef-2026,gustavoquevedo94/audio-exploration-pantanal-birdclef-2026
3,BirdCLEF-2026|birdclef-2026|competitions,0,,0,,0,,BirdCLEF-2026|birdclef-2026,gustavoquevedo94__pantanal-biodiversity-eda-competition-ana,gustavoquevedo94/pantanal-biodiversity-eda-competition-ana
1,competitions,0,,0,,0,,birdclef-2026,haradibots__birdclef-2026-pytorch-baseline-inference,haradibots/birdclef-2026-pytorch-baseline-inference
5,birdclef-2026|birdclef2025-1st-place-ensemble|competitions|models|runtimes-onnx-openvino,0,,0,,1,haradibots/bird-efficientnet-model,birdclef-2026,haradibots__birdclef2025-1st-place-inference,haradibots/birdclef2025-1st-place-inference
1,competitions,0,,0,,0,,birdclef-2026,haradibots__full-training-pipeline,haradibots/full-training-pipeline
2,competitions|models,0,,0,,1,haradibots/bird-efficientnet-model,birdclef-2026,haradibots__with-efficient-net,haradibots/with-efficient-net
